slot,t24,t25,v24,v25,r24,r25,s24,s25,m24,m25,rv24,rv25,t24_p,t25_p,r24_p,r25_p,m24_p,m25_p,rv24_p,rv25_p,s24_p,s25_p,A24,A25,Amin
540,1796.5,2224.5,0.749204987721896,0.5785749852657318,3.449999999999818,7.2775000000006,0.5199999999999818,0.6300000000001091,6.905711206895761,11.260952286407553,2.210684331391981,4.784045746978233,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,0.4130434782608695,0.4565217391304348,0.8532608695652174,0.8532608695652173,0.8532608695652173
600,1775.0,2325.0,0.7380529860374736,0.6095799654722214,3.25,7.177500000000009,0.5199999999999818,0.6300000000001091,6.506758806602215,11.028988095238022,2.122356247681096,4.674099589924699,0.9565217391304348,1.0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.4130434782608695,0.4565217391304348,0.8206521739130436,0.8423913043478262,0.8206521739130436
660,1247.0,1878.0,0.5143649919336895,0.49142998456954956,2.4557499999998527,5.579999999999927,0.5160000000000764,0.6100000000005821,4.977808223841192,8.71408749752717,1.6480227540179089,3.7400694301458794,0.8695652173913043,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.5869565217391304,0.5434782608695652,0.7989130434782609,0.7989130434782608,0.7989130434782608
480,1353.0,1520.5,0.5867349940526765,0.3920449838042259,2.8750000000002274,5.665750000001026,0.5199999999999818,0.6100000000001273,5.664063306827606,8.989601990049453,1.8362453343686174,3.6906878040040656,0.9130434782608695,0.8695652173913043,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.782608695652174,0.4130434782608695,0.6521739130434783,0.7880434782608695,0.8043478260869565,0.7880434782608695
720,908.5,1494.5,0.3800149960152339,0.399089977145195,1.9349999999999454,4.387499999999818,0.5160000000000764,0.6100000000001273,3.9079352850534517,6.975409836065042,1.332781019528951,3.0210044818703534,0.7391304347826086,0.8260869565217391,0.6521739130434783,0.6956521739130435,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.6521739130434783,0.5869565217391304,0.6521739130434783,0.6793478260869564,0.7065217391304348,0.6793478260869564
180,917.0,1064.0,0.41891499225312145,0.27806998789310455,2.1310000000000855,4.4099999999998545,0.5070000000000618,0.5900000000001455,4.404716511935671,7.10860795454378,1.3560562739066238,2.8476384062552587,0.782608695652174,0.45652173913043476,0.8260869565217391,0.7391304347826086,0.8260869565217391,0.7391304347826086,0.782608695652174,0.5217391304347826,0.8043478260869565,0.8913043478260869,0.7989130434782609,0.6521739130434783,0.6521739130434783
1260,929.0,1425.5,0.3903699942457024,0.3702149763703346,2.108500000000049,5.54424999999992,0.5570000000002437,0.7100000000000364,4.084280949892062,7.65194991789501,1.383061135526375,3.8266149695174567,0.8260869565217391,0.782608695652174,0.782608695652174,0.8260869565217391,0.782608695652174,0.8260869565217391,0.8260869565217391,0.9130434782608695,0.10869565217391308,0.19565217391304346,0.6358695652173914,0.6793478260869565,0.6358695652173914
780,812.0,1364.0,0.33853999347775243,0.36014997959136963,1.7035000000000764,3.975000000000364,0.5070000000000618,0.6099999999996726,3.497148288974531,6.413461538469191,1.2047537092702476,2.8073511981935195,0.5652173913043478,0.7391304347826086,0.34782608695652173,0.4782608695652174,0.4782608695652174,0.5652173913043478,0.5217391304347826,0.4782608695652174,0.8043478260869565,0.7391304347826086,0.5597826086956521,0.6086956521739131,0.5597826086956521
240,848.0,1012.5,0.3751849939671956,0.26508498936891556,1.9542500000002292,4.100000000000136,0.5100000000002183,0.599999999999909,3.9171568627450846,6.684749583451076,1.2939676841532655,2.7016656508060795,0.6521739130434783,0.391304347826087,0.6956521739130435,0.5217391304347826,0.6956521739130435,0.6521739130434783,0.6521739130434783,0.43478260869565216,0.6521739130434783,0.8043478260869565,0.6630434782608696,0.5380434782608696,0.5380434782608696
120,873.0,1064.0,0.4154449933266733,0.2717699930071831,1.9550000000001546,4.3100000000004,0.5099999999997635,0.6342499999999518,4.011684782610661,6.615384615382265,1.275884543752578,2.993320221504852,0.6956521739130435,0.45652173913043476,0.7391304347826086,0.6086956521739131,0.7391304347826086,0.6086956521739131,0.5652173913043478,0.6086956521739131,0.7173913043478262,0.3913043478260869,0.6793478260869565,0.5163043478260869,0.5163043478260869
420,830.0,990.0,0.3423949942662148,0.2573099881410599,1.9014999999999418,3.9067499999998745,0.5199999999999818,0.5900000000001455,3.8830835603995144,6.387058198246697,1.2767841416465548,2.618366811624535,0.6086956521739131,0.34782608695652173,0.6086956521739131,0.391304347826087,0.6086956521739131,0.5217391304347826,0.6086956521739131,0.30434782608695654,0.4130434782608695,0.8913043478260869,0.5597826086956522,0.483695652173913,0.483695652173913
900,741.0,1320.0,0.3439899988443358,0.36864499002695084,1.3700000000003456,3.719250000000102,0.4699999999997999,0.6100000000001273,3.0665081822202502,5.940659340657264,1.0135507944071214,2.6614180796195086,0.4782608695652174,0.6956521739130435,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.34782608695652173,0.2608695652173913,0.391304347826087,0.9565217391304348,0.6521739130434783,0.4782608695652174,0.5,0.4782608695652174
300,775.0,904.0,0.33409999356081244,0.23600497841835022,1.8107500000003256,3.8792499999999563,0.5099999999997635,0.599999999999909,3.63453185328224,6.2921899529089576,1.1901529292066955,2.588906425529985,0.5217391304347826,0.30434782608695654,0.5217391304347826,0.34782608695652173,0.5652173913043478,0.4782608695652174,0.4782608695652174,0.2608695652173913,0.7173913043478262,0.8043478260869565,0.5597826086956522,0.42934782608695654,0.42934782608695654
1200,712.0,1215.5,0.2944799945180421,0.3017199784517288,1.8849999999997635,5.2650000000001,0.5570000000002437,0.7100000000000364,3.4492734724301117,7.140357729981146,1.2978061291082894,3.694776842478187,0.30434782608695654,0.6086956521739131,0.5652173913043478,0.782608695652174,0.43478260869565216,0.782608695652174,0.6956521739130435,0.8260869565217391,0.10869565217391308,0.19565217391304346,0.4184782608695652,0.6032608695652174,0.4184782608695652
840,673.0,1222.0,0.29636999375361484,0.32300999760627747,1.406500000000051,3.644999999999527,0.5059999999998581,0.6100000000005821,2.8962450592898383,5.781818181816798,1.0484202401703318,2.5152683753430307,0.2608695652173913,0.6521739130434783,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.17391304347826086,0.8695652173913043,0.5434782608695652,0.42391304347826086,0.3967391304347826,0.3967391304347826
